source_dataset,incident_count,year,state_or_location_field_if_available,cause_category_if_available,incident_type_or_system_type_if_available,total_estimated_cost_if_available,fatalities_if_available,injuries_if_available,ignition_or_fire_field_if_available,release_or_leak_field_if_available,dashboard_risk_note
PHMSA Gas Transmission Incidents,1,2010,AR,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,18959,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,AR,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,161780,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,AR,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,3931,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,AZ,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,99567,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,CA,EXCAVATION DAMAGE,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,445000,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,CA,EXCAVATION DAMAGE,TYPE B GATHERING,75000,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,CA,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,558363000,8,51,YES,RUPTURE,"Higher consequence group. Review injuries/fatalities and cause context; risk-awareness summary, not a formal integrity assessment."
PHMSA Gas Transmission Incidents,1,2010,CA,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,55000,0,0,YES,OTHER,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,CO,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,2667003,0,0,YES,LEAK,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,CO,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,955000,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,CO,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,176025,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,FL,INCORRECT OPERATION,TRANSMISSION SYSTEM,8012,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,GA,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,50587,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,IA,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,479100,0,0,YES,LEAK,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,IA,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,93372,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,IL,CORROSION FAILURE,TRANSMISSION IN STORAGE FIELD,2087367,0,0,YES,RUPTURE,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,IL,EXCAVATION DAMAGE,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,343018,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,IL,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,159825,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,IN,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,66851,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,KS,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,22696,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,KS,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,148431,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,KS,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,953905,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,KY,CORROSION FAILURE,TRANSMISSION SYSTEM,385823,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,KY,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,131004,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,LA,CORROSION FAILURE,TRANSMISSION SYSTEM,551230,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,LA,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,306100,0,0,YES,LEAK,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,LA,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,357663,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,LA,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,40399,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,LA,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,102925,0,0,NO,RUPTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,MI,CORROSION FAILURE,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,198570,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,MI,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,51010,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,MN,INCORRECT OPERATION,TRANSMISSION SYSTEM,130295,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,MN,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,96500,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,MS,CORROSION FAILURE,TRANSMISSION SYSTEM,406699,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,MS,CORROSION FAILURE,TRANSMISSION SYSTEM,1400926,0,0,YES,RUPTURE,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,MS,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,561563,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,MS,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,180000,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,NC,NATURAL FORCE DAMAGE,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,360700,0,0,YES,OTHER,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,NC,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,60566,0,0,YES,OTHER,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,ND,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,42596,1,0,NO,MECHANICAL PUNCTURE,"Higher consequence group. Review injuries/fatalities and cause context; risk-awareness summary, not a formal integrity assessment."
PHMSA Gas Transmission Incidents,1,2010,ND,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,474239,0,0,YES,MECHANICAL PUNCTURE,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,NE,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,55297,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,Not available,CORROSION FAILURE,TRANSMISSION SYSTEM,294760,0,0,YES,LEAK,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,Not available,CORROSION FAILURE,TYPE A GATHERING,250000,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,Not available,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,201056,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,Not available,EQUIPMENT FAILURE,TYPE A GATHERING,110574,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,Not available,EQUIPMENT FAILURE,TYPE B GATHERING,156139,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,Not available,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,600513,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,Not available,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,505500,0,0,YES,RUPTURE,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,Not available,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,268341,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,Not available,OTHER OUTSIDE FORCE DAMAGE,OFFSHORE GATHERING,461000,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,Not available,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,2054195,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,1,2010,OH,INCORRECT OPERATION,TRANSMISSION SYSTEM,490080,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,OK,CORROSION FAILURE,TRANSMISSION IN STORAGE FIELD,11550,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,OK,CORROSION FAILURE,TRANSMISSION SYSTEM,785379,0,0,YES,RUPTURE,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2010,OK,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,139790,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,OK,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,173889,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,OK,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,0,0,1,YES,OTHER,"Higher consequence group. Review injuries/fatalities and cause context; risk-awareness summary, not a formal integrity assessment."
PHMSA Gas Transmission Incidents,1,2010,PA,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,121530,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,TN,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,119500,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,TX,CORROSION FAILURE,TRANSMISSION SYSTEM,715000,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,TX,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,189000,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2010,TX,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,10101,0,1,NO,OTHER,"Higher consequence group. Review injuries/fatalities and cause context; risk-awareness summary, not a formal integrity assessment."
PHMSA Gas Transmission Incidents,1,2010,TX,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,7418,0,1,YES,LEAK,"Higher consequence group. Review injuries/fatalities and cause context; risk-awareness summary, not a formal integrity assessment."
PHMSA Gas Transmission Incidents,1,2010,TX,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,144352,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,TX,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,205115,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,TX,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,1029000,1,7,YES,MECHANICAL PUNCTURE,"Higher consequence group. Review injuries/fatalities and cause context; risk-awareness summary, not a formal integrity assessment."
PHMSA Gas Transmission Incidents,1,2010,TX,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,91005,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,TX,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,1879186,0,0,NO,RUPTURE,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,1,2010,TX,OTHER INCIDENT CAUSE,TYPE A GATHERING,1000,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,TX,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,33509,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,VA,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,79020,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2010,WA,INCORRECT OPERATION,TRANSMISSION SYSTEM,300100,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,6,2011,Not available,CORROSION FAILURE,TRANSMISSION SYSTEM,3863258,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,5,2011,Not available,CORROSION FAILURE,OFFSHORE GATHERING,1349428,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,4,2011,LA,CORROSION FAILURE,TRANSMISSION SYSTEM,4592882,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,4,2011,WY,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,150581,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,3,2011,CA,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,351500,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,3,2011,KS,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,208108,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,3,2011,Not available,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,1525965,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,3,2011,OK,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,2997122,0,0,NO,OTHER,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,3,2011,UT,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,87500,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,2,2011,LA,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,60220,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,2,2011,MN,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,313625,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,2,2011,MT,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,1050440,0,0,NO,OTHER,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,2,2011,OK,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,239256,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,2,2011,WV,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,94119,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,AL,CORROSION FAILURE,TRANSMISSION SYSTEM,7658770,0,0,YES,RUPTURE,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2011,AL,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,173364,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,AR,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,183917,0,0,YES,OTHER,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2011,AR,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,151935,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,AR,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,46293,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,AZ,CORROSION FAILURE,TRANSMISSION SYSTEM,320997,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,AZ,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,569150,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,CA,CORROSION FAILURE,TRANSMISSION SYSTEM,1999000,0,0,NO,LEAK,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,1,2011,CA,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,40000,0,0,NO,OTHER,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,CA,INCORRECT OPERATION,TRANSMISSION SYSTEM,3400000,0,0,NO,OTHER,High reported cost group. Review consequence severity and controls.
PHMSA Gas Transmission Incidents,1,2011,FL,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,74316,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,FL,INCORRECT OPERATION,TRANSMISSION SYSTEM,247071,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,IA,INCORRECT OPERATION,TRANSMISSION SYSTEM,210600,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,ID,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,134081,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,ID,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,138360,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,IL,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,111279,0,0,NO,RUPTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,IL,INCORRECT OPERATION,TRANSMISSION SYSTEM,52500,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,IL,INCORRECT OPERATION,TRANSMISSION SYSTEM,1413979,0,1,YES,OTHER,"Higher consequence group. Review injuries/fatalities and cause context; risk-awareness summary, not a formal integrity assessment."
PHMSA Gas Transmission Incidents,1,2011,IL,NATURAL FORCE DAMAGE,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,184000,0,0,NO,RUPTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,IL,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,566352,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,KS,CORROSION FAILURE,TRANSMISSION IN STORAGE FIELD,208000,0,0,NO,RUPTURE,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,KS,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,263000,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,KS,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,188335,0,0,NO,MECHANICAL PUNCTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,KS,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,276360,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,KY,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,121248,0,0,YES,LEAK,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2011,KY,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,198100,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,KY,INCORRECT OPERATION,TRANSMISSION SYSTEM,95000,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,KY,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,195330,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,KY,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,171476,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,LA,EXCAVATION DAMAGE,TRANSMISSION SYSTEM,128037,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,LA,OTHER OUTSIDE FORCE DAMAGE,TYPE A GATHERING,53000,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,MI,CORROSION FAILURE,TRANSMISSION SYSTEM,3013500,0,0,YES,RUPTURE,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2011,MI,EQUIPMENT FAILURE,TRANSMISSION SYSTEM,241420,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,MI,INCORRECT OPERATION,TRANSMISSION SYSTEM,60250,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,MI,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,150307,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,MI,NATURAL FORCE DAMAGE,TRANSMISSION SYSTEM,360615,0,0,NO,LEAK,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,MN,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,161397,0,0,YES,OTHER,Ignition or fire indicator present. Review emergency response and prevention themes.
PHMSA Gas Transmission Incidents,1,2011,MO,NATURAL FORCE DAMAGE,TRANSMISSION LINE OF DISTRIBUTION SYSTEM,71402,0,0,NO,RUPTURE,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,MS,CORROSION FAILURE,TRANSMISSION SYSTEM,367000,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,MS,MATERIAL FAILURE OF PIPE OR WELD,TRANSMISSION SYSTEM,493413,0,0,NO,LEAK,Mechanical integrity theme. Review cause category and asset context.
PHMSA Gas Transmission Incidents,1,2011,MS,OTHER INCIDENT CAUSE,TRANSMISSION SYSTEM,81824,0,0,NO,OTHER,Use for LNG-style incident risk awareness and trend review.
PHMSA Gas Transmission Incidents,1,2011,MS,OTHER OUTSIDE FORCE DAMAGE,TRANSMISSION SYSTEM,734698,0,0,YES,LEAK,Ignition or fire indicator present. Review emergency response and prevention themes.
