PMRecordID,AssetID,PMDueDate,PMCompletedDate,PMCategory,PMFrequency,AssignedTeam,CompletionStatus,ScheduleStatus,DaysOverdue,DataOrigin,IsIllustrative
1,LNG-CMP-002,2024-01-01,2023-12-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
57,LNG-CMP-007,2025-09-01,2025-08-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
58,LNG-CMP-007,2025-10-01,2025-09-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
59,LNG-CMP-007,2025-11-01,2025-11-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
60,LNG-CMP-007,2025-12-01,2025-12-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
61,LNG-CMP-007,2026-01-01,2025-12-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
62,LNG-CMP-007,2026-02-01,2026-01-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
63,LNG-CMP-007,2026-03-01,2026-03-04,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
64,LNG-CMP-007,2026-04-01,2026-03-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
65,LNG-CMP-007,2026-05-01,2026-04-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
66,LNG-CMP-007,2026-06-01,2026-06-02,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
67,LNG-CMP-007,2026-07-01,,Inspection,Monthly,Mech,Open,Overdue,10.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
68,LNG-CMP-007,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
69,LNG-CMP-007,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
70,LNG-CMP-007,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
71,LNG-CMP-007,2026-11-01,,Lubrication,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
72,LNG-CMP-007,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
73,LNG-CMP-012,2024-01-01,2023-12-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
74,LNG-CMP-012,2024-02-01,2024-01-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
75,LNG-CMP-012,2024-03-01,2024-02-27,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
76,LNG-CMP-012,2024-04-01,2024-03-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
77,LNG-CMP-012,2024-05-01,2024-05-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
78,LNG-CMP-012,2024-06-01,2024-05-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
79,LNG-CMP-012,2024-07-01,2024-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
80,LNG-CMP-012,2024-08-01,2024-07-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
81,LNG-CMP-012,2024-09-01,2024-08-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
82,LNG-CMP-012,2024-10-01,2024-10-13,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
83,LNG-CMP-012,2024-11-01,2024-10-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
84,LNG-CMP-012,2024-12-01,2024-11-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
85,LNG-CMP-012,2025-01-01,2025-01-11,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
86,LNG-CMP-012,2025-02-01,2025-01-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
87,LNG-CMP-012,2025-03-01,2025-03-13,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
88,LNG-CMP-012,2025-04-01,,Inspection,Monthly,Mech,Open,Overdue,466.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
89,LNG-CMP-012,2025-05-01,2025-04-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
90,LNG-CMP-012,2025-06-01,2025-05-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
91,LNG-CMP-012,2025-07-01,2025-07-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
92,LNG-CMP-012,2025-08-01,2025-07-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
93,LNG-CMP-012,2025-09-01,2025-08-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
94,LNG-CMP-012,2025-10-01,2025-09-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
95,LNG-CMP-012,2025-11-01,2025-10-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
96,LNG-CMP-012,2025-12-01,2025-11-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
97,LNG-CMP-012,2026-01-01,2026-01-11,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
98,LNG-CMP-012,2026-02-01,,Lubrication,Monthly,Mech,Open,Overdue,160.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
99,LNG-CMP-012,2026-03-01,2026-02-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
100,LNG-CMP-012,2026-04-01,2026-03-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
101,LNG-CMP-012,2026-05-01,2026-04-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
102,LNG-CMP-012,2026-06-01,2026-05-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
103,LNG-CMP-012,2026-07-01,2026-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
104,LNG-CMP-012,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
105,LNG-CMP-012,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
106,LNG-CMP-012,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
107,LNG-CMP-012,2026-11-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
108,LNG-CMP-012,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
109,LNG-CMP-017,2024-01-01,2024-01-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
110,LNG-CMP-017,2024-02-01,,Lubrication,Monthly,Mech,Open,Overdue,891.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
111,LNG-CMP-017,2024-03-01,2024-02-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
112,LNG-CMP-017,2024-04-01,2024-03-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
113,LNG-CMP-017,2024-05-01,2024-05-14,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
114,LNG-CMP-017,2024-06-01,,Condition Monitoring,Monthly,I&C,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
115,LNG-CMP-017,2024-07-01,2024-06-28,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
116,LNG-CMP-017,2024-08-01,2024-08-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
117,LNG-CMP-017,2024-09-01,2024-08-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
118,LNG-CMP-017,2024-10-01,2024-10-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
119,LNG-CMP-017,2024-11-01,2024-10-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
120,LNG-CMP-017,2024-12-01,2024-11-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
121,LNG-CMP-017,2025-01-01,2024-12-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
122,LNG-CMP-017,2025-02-01,2025-01-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
123,LNG-CMP-017,2025-03-01,2025-02-26,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
124,LNG-CMP-017,2025-04-01,2025-04-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
125,LNG-CMP-017,2025-05-01,2025-05-04,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
126,LNG-CMP-017,2025-06-01,2025-05-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
127,LNG-CMP-017,2025-07-01,2025-06-28,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
128,LNG-CMP-017,2025-08-01,2025-08-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
129,LNG-CMP-017,2025-09-01,2025-08-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
130,LNG-CMP-017,2025-10-01,2025-09-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
131,LNG-CMP-017,2025-11-01,2025-10-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
132,LNG-CMP-017,2025-12-01,2025-11-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
133,LNG-CMP-017,2026-01-01,2025-12-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
134,LNG-CMP-017,2026-02-01,2026-01-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
135,LNG-CMP-017,2026-03-01,,Condition Monitoring,Monthly,I&C,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
136,LNG-CMP-017,2026-04-01,2026-03-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
137,LNG-CMP-017,2026-05-01,2026-05-13,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
138,LNG-CMP-017,2026-06-01,2026-05-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
139,LNG-CMP-017,2026-07-01,2026-06-28,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
140,LNG-CMP-017,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
141,LNG-CMP-017,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
142,LNG-CMP-017,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
143,LNG-CMP-017,2026-11-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
144,LNG-CMP-017,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
145,LNG-CMP-022,2024-01-01,2023-12-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
146,LNG-CMP-022,2024-02-01,2024-01-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
147,LNG-CMP-022,2024-03-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,862.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
148,LNG-CMP-022,2024-04-01,,Inspection,Monthly,Mech,Open,Overdue,831.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
149,LNG-CMP-022,2024-05-01,2024-04-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
150,LNG-CMP-022,2024-06-01,2024-05-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
151,LNG-CMP-022,2024-07-01,2024-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
152,LNG-CMP-022,2024-08-01,2024-07-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
153,LNG-CMP-022,2024-09-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,678.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
154,LNG-CMP-022,2024-10-01,2024-09-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
155,LNG-CMP-022,2024-11-01,2024-10-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
156,LNG-CMP-022,2024-12-01,2024-12-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
157,LNG-CMP-022,2025-01-01,2024-12-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
158,LNG-CMP-022,2025-02-01,,Lubrication,Monthly,Mech,Open,Overdue,525.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
159,LNG-CMP-022,2025-03-01,2025-03-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
160,LNG-CMP-022,2025-04-01,2025-04-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
161,LNG-CMP-022,2025-05-01,,Lubrication,Monthly,Mech,Open,Overdue,436.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
