WorkOrderID,AssetID,MaintenanceDate,ActionID,MaintenanceType,LaborHours,PartsCost,TotalCost,WorkOrderStatus,CompletionDate,PerformedBy,DataOrigin,IsIllustrative
19,LNG-CMP-052,2014-06-01,2,Preventive,4.0,4500.0,5100.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
20,LNG-GEN-054,2014-06-01,8,Preventive,12.0,15000.0,16800.0,Completed,2014-06-02,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
21,LNG-PMP-056,2014-06-01,4,Preventive,3.0,880.0,1330.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
22,LNG-CWP-060,2014-06-01,1,Preventive,4.0,5500.0,6100.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
23,LNG-CWP-065,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
24,LNG-GEN-074,2014-06-01,4,Preventive,3.0,1000.0,1450.0,Completed,2014-06-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
25,LNG-CWP-075,2014-06-01,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-02,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
26,LNG-GEN-079,2014-06-01,2,Preventive,4.0,3750.0,4350.0,Completed,2014-06-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
27,LNG-PMP-081,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
28,LNG-GEN-084,2014-06-01,4,Preventive,3.0,1000.0,1450.0,Completed,2014-06-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
29,LNG-PMP-086,2014-06-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
30,LNG-MTR-093,2014-06-01,8,Preventive,12.0,12000.0,13800.0,Completed,2014-06-02,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
31,LNG-CWP-095,2014-06-01,4,Preventive,3.0,880.0,1330.0,Completed,2014-06-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
32,LNG-PMP-096,2014-06-01,1,Preventive,4.0,5500.0,6100.0,Completed,2014-06-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
33,LNG-CMP-002,2014-06-16,1,Preventive,4.0,7500.0,8100.0,Completed,2014-06-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
34,LNG-MTR-003,2014-06-16,8,Preventive,12.0,12000.0,13800.0,Completed,2014-06-17,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
35,LNG-GEN-004,2014-06-16,2,Preventive,4.0,3750.0,4350.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
36,LNG-CWP-010,2014-06-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
37,LNG-MTR-013,2014-06-16,1,Preventive,4.0,5000.0,5600.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
38,LNG-CWP-015,2014-06-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
39,LNG-MTR-018,2014-06-16,4,Preventive,3.0,800.0,1250.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
40,LNG-CMP-022,2014-06-16,8,Preventive,12.0,18000.0,19800.0,Completed,2014-06-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
41,LNG-CWP-025,2014-06-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-17,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
42,LNG-PMP-026,2014-06-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
43,LNG-MTR-028,2014-06-16,1,Preventive,4.0,5000.0,5600.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
44,LNG-GEN-034,2014-06-16,4,Preventive,3.0,1000.0,1450.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
45,LNG-CWP-035,2014-06-16,4,Preventive,3.0,880.0,1330.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
46,LNG-GEN-039,2014-06-16,4,Preventive,3.0,1000.0,1450.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
47,LNG-MTR-043,2014-06-16,2,Preventive,4.0,3000.0,3600.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
48,LNG-GEN-044,2014-06-16,8,Preventive,12.0,15000.0,16800.0,Completed,2014-06-17,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
49,LNG-PMP-046,2014-06-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
50,LNG-PMP-046,2014-06-16,4,Preventive,3.0,880.0,1330.0,Completed,2014-06-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
51,LNG-PMP-051,2014-06-16,2,Preventive,4.0,3300.0,3900.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
52,LNG-CWP-055,2014-06-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
53,LNG-CWP-055,2014-06-16,4,Preventive,3.0,880.0,1330.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
54,LNG-CMP-057,2014-06-16,2,Preventive,4.0,4500.0,5100.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
55,LNG-PMP-061,2014-06-16,4,Preventive,3.0,880.0,1330.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
56,LNG-MTR-078,2014-06-16,1,Preventive,4.0,5000.0,5600.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
57,LNG-CMP-082,2014-06-16,8,Preventive,12.0,18000.0,19800.0,Completed,2014-06-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
58,LNG-GEN-084,2014-06-16,2,Preventive,4.0,3750.0,4350.0,Completed,2014-06-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
59,LNG-CWP-085,2014-06-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-17,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
60,LNG-PMP-086,2014-06-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
61,LNG-CWP-090,2014-06-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-06-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
62,LNG-CMP-092,2014-06-16,1,Preventive,4.0,7500.0,8100.0,Completed,2014-06-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
63,LNG-CWP-095,2014-06-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-06-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
64,LNG-MTR-003,2014-07-01,4,Preventive,3.0,800.0,1250.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
65,LNG-CMP-007,2014-07-01,1,Preventive,4.0,7500.0,8100.0,Completed,2014-07-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
66,LNG-CMP-007,2014-07-01,8,Preventive,12.0,18000.0,19800.0,Completed,2014-07-02,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
67,LNG-GEN-019,2014-07-01,1,Preventive,4.0,6250.0,6850.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
68,LNG-CWP-020,2014-07-01,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
69,LNG-GEN-024,2014-07-01,2,Preventive,4.0,3750.0,4350.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
70,LNG-MTR-028,2014-07-01,8,Preventive,12.0,12000.0,13800.0,Completed,2014-07-02,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
71,LNG-CWP-030,2014-07-01,1,Preventive,4.0,5500.0,6100.0,Completed,2014-07-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
72,LNG-CWP-030,2014-07-01,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
73,LNG-CMP-042,2014-07-01,8,Preventive,12.0,18000.0,19800.0,Completed,2014-07-02,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
74,LNG-CWP-050,2014-07-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-07-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
75,LNG-GEN-054,2014-07-01,2,Preventive,4.0,3750.0,4350.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
76,LNG-MTR-058,2014-07-01,4,Preventive,3.0,800.0,1250.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
77,LNG-PMP-061,2014-07-01,1,Preventive,4.0,5500.0,6100.0,Completed,2014-07-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
78,LNG-CMP-067,2014-07-01,1,Preventive,4.0,7500.0,8100.0,Completed,2014-07-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
79,LNG-CWP-070,2014-07-01,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
80,LNG-MTR-073,2014-07-01,4,Preventive,3.0,800.0,1250.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
81,LNG-PMP-076,2014-07-01,2,Preventive,4.0,3300.0,3900.0,Completed,2014-07-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
82,LNG-MTR-078,2014-07-01,2,Preventive,4.0,3000.0,3600.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
83,LNG-PMP-081,2014-07-01,8,Preventive,12.0,13200.0,15000.0,Completed,2014-07-02,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
84,LNG-PMP-086,2014-07-01,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
85,LNG-MTR-088,2014-07-01,2,Preventive,4.0,3000.0,3600.0,Completed,2014-07-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
86,LNG-PMP-091,2014-07-01,8,Preventive,12.0,13200.0,15000.0,Completed,2014-07-02,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
87,LNG-CWP-095,2014-07-01,8,Preventive,12.0,13200.0,15000.0,Completed,2014-07-02,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
88,LNG-CMP-097,2014-07-01,1,Preventive,4.0,7500.0,8100.0,Completed,2014-07-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
89,LNG-CMP-097,2014-07-01,2,Preventive,4.0,4500.0,5100.0,Completed,2014-07-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
90,LNG-CMP-097,2014-07-01,4,Preventive,3.0,1200.0,1650.0,Completed,2014-07-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
91,LNG-PMP-001,2014-07-16,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
92,LNG-CMP-002,2014-07-16,8,Preventive,12.0,18000.0,19800.0,Completed,2014-07-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
93,LNG-PMP-011,2014-07-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-07-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
94,LNG-PMP-011,2014-07-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-07-17,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
95,LNG-GEN-014,2014-07-16,4,Preventive,3.0,1000.0,1450.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
96,LNG-GEN-029,2014-07-16,8,Preventive,12.0,15000.0,16800.0,Completed,2014-07-17,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
97,LNG-PMP-031,2014-07-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-07-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
98,LNG-PMP-036,2014-07-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-07-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
99,LNG-PMP-036,2014-07-16,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
100,LNG-MTR-038,2014-07-16,2,Preventive,4.0,3000.0,3600.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
101,LNG-CMP-042,2014-07-16,4,Preventive,3.0,1200.0,1650.0,Completed,2014-07-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
102,LNG-MTR-043,2014-07-16,1,Preventive,4.0,5000.0,5600.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
103,LNG-GEN-044,2014-07-16,2,Preventive,4.0,3750.0,4350.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
104,LNG-GEN-059,2014-07-16,2,Preventive,4.0,3750.0,4350.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
105,LNG-CWP-060,2014-07-16,2,Preventive,4.0,3300.0,3900.0,Completed,2014-07-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
106,LNG-MTR-063,2014-07-16,1,Preventive,4.0,5000.0,5600.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
107,LNG-MTR-063,2014-07-16,4,Preventive,3.0,800.0,1250.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
108,LNG-GEN-064,2014-07-16,4,Preventive,3.0,1000.0,1450.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
109,LNG-CWP-065,2014-07-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-07-17,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
110,LNG-PMP-066,2014-07-16,8,Preventive,12.0,13200.0,15000.0,Completed,2014-07-17,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
111,LNG-GEN-069,2014-07-16,2,Preventive,4.0,3750.0,4350.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
112,LNG-GEN-069,2014-07-16,8,Preventive,12.0,15000.0,16800.0,Completed,2014-07-17,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
113,LNG-MTR-073,2014-07-16,1,Preventive,4.0,5000.0,5600.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
114,LNG-GEN-079,2014-07-16,4,Preventive,3.0,1000.0,1450.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
115,LNG-PMP-081,2014-07-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-07-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
116,LNG-PMP-081,2014-07-16,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
117,LNG-CMP-082,2014-07-16,1,Preventive,4.0,7500.0,8100.0,Completed,2014-07-16,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
118,LNG-CWP-085,2014-07-16,1,Preventive,4.0,5500.0,6100.0,Completed,2014-07-16,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
119,LNG-MTR-093,2014-07-16,1,Preventive,4.0,5000.0,5600.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
120,LNG-GEN-094,2014-07-16,1,Preventive,4.0,6250.0,6850.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
121,LNG-GEN-099,2014-07-16,4,Preventive,3.0,1000.0,1450.0,Completed,2014-07-16,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
122,LNG-PMP-001,2014-07-31,8,Preventive,12.0,13200.0,15000.0,Completed,2014-08-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
123,LNG-GEN-004,2014-07-31,1,Preventive,4.0,6250.0,6850.0,Completed,2014-07-31,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
124,LNG-CMP-012,2014-07-31,8,Preventive,12.0,18000.0,19800.0,Completed,2014-08-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
125,LNG-GEN-014,2014-07-31,1,Preventive,4.0,6250.0,6850.0,Completed,2014-07-31,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
126,LNG-CWP-030,2014-07-31,8,Preventive,12.0,13200.0,15000.0,Completed,2014-08-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
127,LNG-CMP-032,2014-07-31,8,Preventive,12.0,18000.0,19800.0,Completed,2014-08-01,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
128,LNG-GEN-034,2014-07-31,1,Preventive,4.0,6250.0,6850.0,Completed,2014-07-31,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
129,LNG-CWP-035,2014-07-31,2,Preventive,4.0,3300.0,3900.0,Completed,2014-07-31,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
130,LNG-PMP-041,2014-07-31,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-31,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
131,LNG-MTR-043,2014-07-31,8,Preventive,12.0,12000.0,13800.0,Completed,2014-08-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
132,LNG-CMP-047,2014-07-31,1,Preventive,4.0,7500.0,8100.0,Completed,2014-07-31,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
133,LNG-GEN-049,2014-07-31,8,Preventive,12.0,15000.0,16800.0,Completed,2014-08-01,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
134,LNG-PMP-056,2014-07-31,2,Preventive,4.0,3300.0,3900.0,Completed,2014-07-31,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
135,LNG-PMP-061,2014-07-31,2,Preventive,4.0,3300.0,3900.0,Completed,2014-07-31,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
136,LNG-CWP-070,2014-07-31,2,Preventive,4.0,3300.0,3900.0,Completed,2014-07-31,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
137,LNG-PMP-071,2014-07-31,4,Preventive,3.0,880.0,1330.0,Completed,2014-07-31,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
138,LNG-CMP-072,2014-07-31,1,Preventive,4.0,7500.0,8100.0,Completed,2014-07-31,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
139,LNG-CMP-077,2014-07-31,8,Preventive,12.0,18000.0,19800.0,Completed,2014-08-01,Mechanical Team A,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
140,LNG-MTR-088,2014-07-31,4,Preventive,3.0,800.0,1250.0,Completed,2014-07-31,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
141,LNG-GEN-089,2014-07-31,2,Preventive,4.0,3750.0,4350.0,Completed,2014-07-31,Electrical Team,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
142,LNG-CMP-002,2014-08-15,2,Preventive,4.0,4500.0,5100.0,Completed,2014-08-15,Mechanical Team B,Direct/Mapped/Derived/Inferred/Simulated from public Azure PdM maintenance events,True
